Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Juneau
Station ID: USW00025309
Downloaded: Thu Nov 21 2024 08:38:14 GMT-0500 (Eastern Standard Time)

"Year","Annual Maximum Temperature (degF)","Annual Maximum Temperature date","Annual Minimum Temperature (degF)","Annual Minimum Temperature date","Annual Average Temperature (degF)"
"1936","","","","",""
"1937","","","","",""
"1938","","","","",""
"1939","","","","",""
"1940","","","","",""
"1941","80","1941-08-04","-4","1941-01-25","42.6"
"1942","80","1942-08-07","-5","1942-12-25","42.5"
"1943","78","1943-08-05","-8","1943-01-21","39.9"
"1944","80","1944-06-15","-2","1944-12-30","42.4"
"1945","76","1945-08-02","0","1945-02-14","40.5"
"1946","83","1946-06-22","-7","1946-12-11","40.8"
"1947","82","1947-07-18","-17","1947-01-30","41.4"
"1948","83","1948-06-17","-16","1948-12-08","39.3"
"1949","75","1949-08-30","-21","1949-12-31","39.2"
"1950","83","1950-06-17","-19","1950-01-01","37.7"
"1951","83","1951-07-05","-8","1951-02-10","38.5"
"1952","78","1952-07-22","-17","1952-01-23","40.5"
"1953","81","1953-06-26","-5","1953-01-28","41.7"
"1954","80","1954-06-04","-8","1954-01-27","39.7"
"1955","82","1955-07-21","-10","1955-12-26","37.9"
"1956","84","1956-07-14","-11","1956-03-10","38.4"
"1957","83","1957-08-09","0","1957-01-25","41.2"
"1958","84","1958-06-07","0","1958-12-09","42"
"1959","79","1959-07-10","-4","1959-01-08","40.4"
"1960","75","1960-07-12","9","1960-01-11","41.9"
"1961","79","1961-07-27","-3","1961-12-21","40.8"
"1962","78","1962-07-29","-2","1962-01-26","40.4"
"1963","81","1963-08-12","-1","1963-01-09","41.5"
"1964","79","1964-05-29","-15","1964-12-30","40.2"
"1965","82","1965-07-07","-15","1965-01-06","39.3"
"1966","81","1966-07-25","-20","1966-01-28","37.2"
"1967","80","1967-06-17","-4","1967-03-26","39.7"
"1968","77","1968-08-04","-22","1968-02-02","39.3"
"1969","86","1969-06-13","-14","1969-01-18","38.9"
"1970","81","1970-07-26","-10","1970-01-15","39"
"1971","81","1971-07-09","-14","1971-01-25","38.1"
"1972","84","1972-07-04","-22","1972-01-12","37.4"
"1973","73","1973-08-20","-8","1973-01-15","38.2"
"1974","78","1974-08-15","-12","1974-03-07","39.6"
"1975","90","1975-07-07","-10","1975-02-13","39.3"
"1976","84","1976-07-31","-3","1976-01-13","42.1"
"1977","83","1977-08-20","-7","1977-12-08","42.6"
"1978","80","1978-08-01","2","1978-11-19","41.7"
"1979","80","1979-08-23","-10","1979-02-13","40.2"
"1980","83","1980-06-05","-7","1980-01-05","41.6"
"1981","76","1981-08-08","1","1981-12-31","43.5"
"1982","85","1982-06-25","-7","1982-01-18","39.4"
"1983","79","1983-06-24","0","1983-12-17","41.4"
"1984","79","1984-07-06","-5","1984-12-29","42.5"
"1985","83","1985-06-29","-4","1985-11-27","40.5"
"1986","78","1986-06-27","5","1986-11-20","42.5"
"1987","82","1987-07-20","5","1987-03-04","43.8"
"1988","77","1988-06-06","8","1988-01-30","42.4"
"1989","84","1989-07-11","-6","1989-02-01","42.2"
"1990","82","1990-07-21","-5","1990-01-31","41.2"
"1991","84","1991-06-20","-4","1991-01-08","42.4"
"1992","82","1992-06-30","-1","1992-12-31","42.6"
"1993","79","1993-07-15","3","1993-01-27","44.1"
"1994","78","1994-08-12","-2","1994-02-23","41.4"
"1995","80","1995-06-09","-10","1995-12-07","41.9"
"1996","80","1996-07-18","-6","1996-01-20","40.1"
"1997","82","1997-06-22","-3","1997-01-02","44"
"1998","79","1998-07-04","1","1998-01-08","42.5"
"1999","83","1999-08-02","3","1999-01-30","42.1"
"2000","73","2000-08-10","0","2000-01-15","41.9"
"2001","79","2001-08-13","6","2001-12-02","42"
"2002","82","2002-06-14","-1","2002-01-27","41.9"
"2003","79","2003-08-08","4","2003-03-11","41.9"
"2004","85","2004-06-23","3","2004-01-26","43.7"
"2005","83","2005-08-11","-5","2005-01-12","43.4"
"2006","78","2006-07-29","-5","2006-11-28","40.2"
"2007","78","2007-08-13","-4","2007-02-28","40.9"
"2008","76","2008-08-20","-8","2008-02-08","40.1"
"2009","85","2009-07-06","-9","2009-01-07","41.2"
"2010","80","2010-08-15","3","2010-12-20","42.7"
"2011","77","2011-07-11","1","2011-02-24","40.6"
"2012","82","2012-06-23","2","2012-01-17","40.2"
"2013","85","2013-06-16","5","2013-12-18","42.4"
"2014","77","2014-08-03","0","2014-02-12","43"
"2015","84","2015-07-06","6","2015-02-07","44.4"
"2016","82","2016-07-18","2","2016-12-13","44.8"
"2017","81","2017-08-05","1","2017-12-31","41.4"
"2018","85","2018-06-20","4","2018-02-10","42.8"
"2019","85","2019-06-28","4","2019-02-03","44.2"
"2020","83","2020-07-02","2","2020-01-13","42.4"
"2021","83","2021-06-28","-5","2021-02-10","41.7"
"2022","85","2022-06-28","-8","2022-01-06","43"
"Overall","90","1975-07-07","-22","1972-01-12","41.2"
