Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Anchorage
Station ID: USW00026451
Downloaded: Thu Nov 14 2024 08:37:48 GMT-0500 (Eastern Standard Time)

"Year","Annual Maximum Temperature (degF)","Annual Maximum Temperature date","Annual Minimum Temperature (degF)","Annual Minimum Temperature date","Annual Average Temperature (degF)"
"1952","","","","",""
"1953","83","1953-06-26","-13","1953-12-14","37.8"
"1954","76","1954-07-07","-29","1954-12-28","34.2"
"1955","81","1955-07-21","-27","1955-12-10","32.5"
"1956","80","1956-07-15","-26","1956-02-12","31.1"
"1957","77","1957-08-09","-20","1957-12-26","37.3"
"1958","76","1958-07-04","-18","1958-12-31","35.8"
"1959","77","1959-06-18","-17","1959-01-01","34.6"
"1960","80","1960-07-12","-23","1960-01-13","37"
"1961","77","1961-06-19","-30","1961-12-28","33.7"
"1962","75","1962-07-06","-22","1962-01-27","35.4"
"1963","75","1963-08-13","-22","1963-01-09","36.5"
"1964","75","1964-07-07","-30","1964-12-14","33.3"
"1965","77","1965-07-30","-21","1965-02-19","35.6"
"1966","75","1966-07-24","-21","1966-12-10","32.9"
"1967","78","1967-07-11","-18","1967-02-14","35.8"
"1968","82","1968-08-06","-18","1968-02-03","35.7"
"1969","85","1969-06-14","-16","1969-01-05","37.6"
"1970","74","1970-07-26","-14","1970-12-31","37"
"1971","75","1971-07-10","-24","1971-03-07","32.2"
"1972","80","1972-07-06","-28","1972-01-11","31.9"
"1973","73","1973-06-21","-27","1973-01-26","32.7"
"1974","78","1974-07-01","-18","1974-01-20","35.4"
"1975","78","1975-07-09","-34","1975-01-05","33.7"
"1976","78","1976-07-09","-13","1976-02-10","36.4"
"1977","82","1977-08-21","-16","1977-12-09","39"
"1978","82","1978-08-02","-11","1978-12-16","39.7"
"1979","79","1979-07-03","-16","1979-12-31","38.8"
"1980","75","1980-07-20","-23","1980-12-17","35.9"
"1981","74","1981-08-26","-16","1981-12-30","38.7"
"1982","76","1982-06-26","-20","1982-01-07","33.8"
"1983","76","1983-06-18","-17","1983-01-09","37"
"1984","76","1984-08-15","-18","1984-01-24","38.5"
"1985","76","1985-06-30","-10","1985-02-22","35.7"
"1986","77","1986-07-19","-8","1986-03-01","38"
"1987","79","1987-07-27","-12","1987-01-12","38.2"
"1988","73","1988-07-19","-9","1988-01-28","37.6"
"1989","82","1989-07-02","-30","1989-01-29","35.8"
"1990","80","1990-08-11","-24","1990-12-01","34.8"
"1991","75","1991-06-20","-14","1991-02-07","36.8"
"1992","74","1992-07-01","-16","1992-03-05","35.5"
"1993","80","1993-07-12","-22","1993-02-02","39"
"1994","76","1994-08-03","-15","1994-11-25","36.4"
"1995","78","1995-06-11","-15","1995-01-13","37.4"
"1996","77","1996-06-01","-14","1996-12-31","34.7"
"1997","80","1997-06-28","-21","1997-01-07","38.1"
"1998","72","1998-08-01","-11","1998-01-05","37.2"
"1999","77","1999-07-05","-28","1999-02-04","34.3"
"2000","73","2000-06-04","-10","2000-01-16","38.1"
"2001","75","2001-06-28","-15","2001-12-17","37.1"
"2002","79","2002-07-31","-11","2002-01-26","38.9"
"2003","84","2003-07-08","-14","2003-12-02","39.1"
"2004","81","2004-08-16","-18","2004-01-17","38.5"
"2005","77","2005-08-12","-8","2005-02-05","39"
"2006","76","2006-05-27","-11","2006-01-26","35.8"
"2007","77","2007-06-20","-17","2007-01-08","36.8"
"2008","71","2008-07-04","-15","2008-12-31","34.6"
"2009","79","2009-07-07","-24","2009-01-07","36.4"
"2010","76","2010-05-27","-8","2010-12-25","37.4"
"2011","72","2011-07-22","-12","2011-01-16","36.7"
"2012","73","2012-06-23","-15","2012-01-28","34.9"
"2013","82","2013-06-18","-11","2013-12-17","38.4"
"2014","76","2014-07-03","0","2014-02-11","40.5"
"2015","83","2015-06-16","-8","2015-11-18","39.9"
"2016","83","2016-06-16","-8","2016-12-05","41.5"
"2017","76","2017-07-23","-15","2017-01-19","37.6"
"2018","80","2018-07-06","-2","2018-02-05","40.5"
"2019","90","2019-07-04","-7","2019-01-07","42.5"
"2020","78","2020-08-15","-11","2020-01-08","36.7"
"2021","81","2021-07-18","-9","2021-12-15","35.8"
"2022","78","2022-07-02","-12","2022-12-20","39.2"
"Overall","90","2019-07-04","-34","1975-01-05","36.6"
