ID,Month,Avy_Mort,Prop_Avy
LG001,1,0,0.03
LG001,2,0,0.06
LG001,3,0,0.07
LG001,4,0,0
LG001,10,0,0.77
LG001,11,0,0.59
LG001,12,0,0.25
LG002,1,1,0.04
LG002,2,1,0.04
LG002,3,1,0.18
LG002,4,1,0.23
LG002,10,1,0.93
LG002,11,1,0.38
LG002,12,1,0.24
LG003,1,0,0.31
LG003,2,0,0.36
LG003,3,0,0.29
LG003,4,0,0.58
LG003,5,0,0.43
LG003,10,0,0.64
LG003,11,0,0.41
LG003,12,0,0.3
LG004,1,0,0.01
LG004,2,0,0.01
LG004,3,0,0.04
LG004,4,0,0.02
LG004,5,0,0.22
LG004,10,0,0.92
LG004,11,0,0.36
LG004,12,0,0.01
LG005,1,1,0.04
LG005,2,1,0.07
LG005,3,1,0.02
LG005,4,1,0.05
LG005,5,1,0.23
LG005,10,1,0.71
LG005,11,1,0.19
LG005,12,1,0.05
LG006,1,0,0.02
LG006,2,0,0
LG006,10,0,0.57
LG006,11,0,0.65
LG006,12,0,0.49
LG007,1,0,0.26
LG007,2,0,0.63
LG007,3,0,0.38
LG007,4,0,0.53
LG007,5,0,0.64
LG007,10,0,0.84
LG007,11,0,0.51
LG007,12,0,0.47
LG008,1,0,0.33
LG008,2,0,0.41
LG008,3,0,0.49
LG008,4,0,0.51
LG008,5,0,0.49
LG008,10,0,0.88
LG008,11,0,0.3
LG008,12,0,0.39
LG009,1,0,0.21
LG009,2,0,0.41
LG009,3,0,0.29
LG009,4,0,0.34
LG009,5,0,0.61
LG009,10,0,0.83
LG009,11,0,0.29
LG009,12,0,0.21
LG010,1,0,0.11
LG010,2,0,0.07
LG010,3,0,0.05
LG010,4,0,0.22
LG010,5,0,0.37
LG010,10,0,0.79
LG010,11,0,0.24
LG010,12,0,0.19
LG011,1,0,0.11
LG011,2,0,0.02
LG011,3,0,0.01
LG011,4,0,0.21
LG011,5,0,0.73
LG011,10,0,0.46
LG011,11,0,0.14
LG011,12,0,0.07
LG012,1,0,0.33
LG012,2,0,0.24
LG012,3,0,0.13
LG012,4,0,0.12
LG012,5,0,0.57
LG012,10,0,0.5
LG012,11,0,0.28
LG012,12,0,0.27
LG014,1,0,0.2
LG014,2,0,0.26
LG014,3,0,0.18
LG014,4,0,0.25
